;BIN;Identifier;V;P;n;cp;P max;P min;P std;P std/sqrt(n)
0;7;BW 05;3,1249088357467794;-8,4176;10;-0,024819502853379548;22,858;-53,401;25,069143810225704;7,927559343062514
1;8;BW 05;3,5307358582572723;51,223925925925926;27;0,10471141432630475;99,207;-5,12;31,39978769884859;6,042891960142445
2;9;BW 05;4,0100769359209485;142,90019999999996;50;0,19938458172070378;292,741;44,126;52,30235356900436;7,396669776131882
3;10;BW 05;4,506566613493191;280,80165384615384;104;0,27604451759608256;387,508;134,439;54,31093917466678;5,325625743330322
4;11;BW 05;5,024880361592527;452,07737623762364;101;0,3205918262173185;581,165;227,064;69,37330196492762;6,90290154627707
5;12;BW 05;5,493331167284588;623,1253846153846;117;0,338208835613676;851,928;416,127;91,8154076507114;8,488337440058169
6;13;BW 05;5,9930811958886725;876,9245409836064;122;0,36654608797256577;1104,415;636,479;102,04144640503775;9,238398477537762
7;14;BW 05;6,486954030562533;1165,7585339805826;103;0,3842403702412803;1515,063;819,162;133,19276011155281;13,12387261774262
8;15;BW 05;6,976585340149886;1512,4757966101693;59;0,40075278593422214;1850,559;1237,272;153,52400048355682;19,98712243237374
9;16;BW 05;7,466735348226061;1870,0761395348834;43;0,40418841691092405;2387,63;1532,186;167,76930691145958;25,584579449689556
10;17;BW 05;8,03564061058964;2450,064185185185;54;0,4248472356394557;3046,79;1766,288;253,49706305254693;34,49658087627079
11;18;BW 05;8,480897014921554;2899,751888888888;54;0,42771287260299623;3458,57;2414,013;274,63182279640876;37,37265738786948
12;19;BW 05;9,022396802734262;3539,589433333333;60;0,433614672836269;4199,974;3059,954;234,632637157689;30,290943206281902
13;20;BW 05;9,493854332491264;4153,906901639342;61;0,4367630768579792;4962,63;3541,544;301,4848555584345;38,60118025272177
14;21;BW 05;9,976704127236786;4792,195886792452;53;0,4342003141334788;5632,157;4110,912;327,290175035893;44,95676301779541
15;22;BW 05;10,520204144111982;5446,0621875;32;0,4208496242578609;5969,921;4806,631;283,9430516610838;50,19451432508863
16;23;BW 05;10,988253642724196;5985,645760000001;25;0,40592129330347143;6301,855;5633,346;194,63840646916677;38,92768129383335
17;24;BW 05;11,443700205163072;6265,5678181818175;33;0,3761645536098082;6380,486;5918,446;120,55822654361171;20,98649348288792
18;25;BW 05;12,038997985713191;6367,566428571428;7;0,32833660910638107;6379,217;6347,348;12,906769862584289;4,8783004693630465
19;26;BW 05;12,490976771887114;6365,4782;10;0,2938723207089956;6384,894;6323,487;18,98372571324081;6,003181172974544
20;27;BW 05;12,805414236698496;6364,6982499999995;4;0,2727179808551178;6377,427;6353,217;10,896329821702968;5,448164910851484
21;28;BW 05;13,404920969617313;6370,9963333333335;3;0,2379750524301806;6383,789;6351,936;16,826055281417723;9,714527546126048
